t,x,y,z,mode
6.99,-0.387294,-1.768807,-0.780727,IMU
7.0,-0.387256,-1.769517,-0.778953,IMU
7.01,-0.387214,-1.770213,-0.777173,IMU
7.02,-0.387168,-1.770896,-0.77541,IMU
7.03,-0.387121,-1.771575,-0.77367,IMU
7.04,-0.38708,-1.772261,-0.771929,IMU
7.05,-0.387038,-1.772956,-0.770196,IMU
7.06,-0.386993,-1.773659,-0.768504,IMU
7.07,-0.386963,-1.774368,-0.76685,IMU
7.08,-0.386947,-1.775077,-0.765219,IMU
7.09,-0.386934,-1.77579,-0.763599,IMU
7.1,-0.38693,-1.776504,-0.761964,IMU
7.11,-0.386936,-1.77721,-0.760303,IMU
7.12,-0.38694,-1.777939,-0.758618,IMU
7.13,-0.386944,-1.778698,-0.756909,IMU
7.14,-0.386959,-1.779462,-0.755174,IMU
7.15,-0.386963,-1.780229,-0.753411,IMU
7.16,-0.38695,-1.781004,-0.751619,IMU
7.17,-0.38694,-1.781795,-0.749804,IMU
7.18,-0.386923,-1.782597,-0.74797,IMU
7.19,-0.386893,-1.783399,-0.746128,IMU
7.2,-0.386857,-1.784199,-0.744295,IMU
7.21,-0.386811,-1.785015,-0.742474,IMU
7.22,-0.386784,-1.785858,-0.740667,IMU
7.23,-0.38678,-1.786717,-0.738875,IMU
7.24,-0.386781,-1.787595,-0.73708,IMU
7.25,-0.386783,-1.788497,-0.735289,IMU
7.26,-0.386776,-1.789414,-0.733531,IMU
7.27,-0.386773,-1.79034,-0.731807,IMU
7.28,-0.38677,-1.791274,-0.730089,IMU
7.29,-0.386757,-1.792227,-0.728384,IMU
7.3,-0.386744,-1.793192,-0.726714,IMU
7.31,-0.386741,-1.794158,-0.725052,IMU
7.32,-0.38674,-1.795121,-0.723375,IMU
7.33,-0.386733,-1.796081,-0.721696,IMU
7.34,-0.386733,-1.797023,-0.720018,IMU
7.35,-0.386763,-1.797947,-0.718328,IMU
7.36,-0.386814,-1.798882,-0.716604,IMU
7.37,-0.386878,-1.799832,-0.714854,IMU
7.38,-0.386954,-1.800799,-0.713091,IMU
7.39,-0.387019,-1.801773,-0.711321,IMU
7.4,-0.387066,-1.802753,-0.709547,IMU
7.41,-0.387101,-1.803745,-0.707759,IMU
7.42,-0.387118,-1.804721,-0.705972,IMU
7.43,-0.387117,-1.805688,-0.704211,IMU
7.44,-0.387108,-1.80668,-0.702456,IMU
7.45,-0.387099,-1.807681,-0.700697,IMU
7.46,-0.387091,-1.808683,-0.698945,IMU
7.47,-0.387083,-1.809695,-0.697297,IMU
7.48,-0.387066,-1.810718,-0.69585,IMU
7.49,-0.387049,-1.811741,-0.694602,IMU
7.5,-0.387045,-1.812762,-0.693585,IMU
7.51,-0.387047,-1.81378,-0.692796,IMU
7.52,-0.387038,-1.814799,-0.692202,IMU
7.53,-0.387022,-1.815824,-0.691804,IMU
7.54,-0.387012,-1.816846,-0.6916,IMU
7.55,-0.38701,-1.817844,-0.691549,IMU
7.56,-0.387005,-1.818802,-0.691626,IMU
7.57,-0.387007,-1.819731,-0.691866,IMU
7.58,-0.387034,-1.820649,-0.692263,IMU
7.59,-0.387074,-1.821575,-0.692789,IMU
7.6,-0.387124,-1.82251,-0.693456,IMU
7.61,-0.387203,-1.823462,-0.694271,IMU
7.62,-0.38731,-1.824432,-0.695206,IMU
7.63,-0.387426,-1.825403,-0.696231,IMU
7.64,-0.387539,-1.826371,-0.69736,IMU
7.65,-0.387633,-1.827322,-0.698599,IMU
7.66,-0.387712,-1.828255,-0.699931,IMU
7.67,-0.387779,-1.829188,-0.701341,IMU
7.68,-0.387828,-1.830112,-0.702829,IMU
7.69,-0.387868,-1.831016,-0.704383,IMU
7.7,-0.38791,-1.831906,-0.706008,IMU
7.71,-0.38797,-1.832798,-0.707713,IMU
7.72,-0.388047,-1.833691,-0.709484,IMU
7.73,-0.388129,-1.834585,-0.711327,IMU
7.74,-0.388215,-1.835489,-0.713245,IMU
7.75,-0.388296,-1.836388,-0.715205,IMU
7.76,-0.388366,-1.837273,-0.717182,IMU
7.77,-0.388443,-1.838158,-0.719198,IMU
7.78,-0.388536,-1.83905,-0.721288,IMU
7.79,-0.388631,-1.839952,-0.723428,IMU
7.8,-0.388724,-1.840848,-0.725604,IMU
7.81,-0.388835,-1.841722,-0.727831,IMU
7.82,-0.388953,-1.842575,-0.730096,IMU
7.83,-0.389067,-1.84342,-0.732392,IMU
7.84,-0.38918,-1.844265,-0.734729,IMU
7.85,-0.3893,-1.845099,-0.737114,IMU
7.86,-0.389438,-1.845916,-0.739536,IMU
7.87,-0.389589,-1.846733,-0.741973,IMU
7.88,-0.389742,-1.847576,-0.744439,IMU
7.89,-0.389883,-1.848446,-0.746945,IMU
7.9,-0.390022,-1.849334,-0.749484,IMU
7.91,-0.390183,-1.850223,-0.752082,IMU
7.92,-0.390357,-1.851105,-0.754732,IMU
7.93,-0.390523,-1.851985,-0.757408,IMU
7.94,-0.390684,-1.852851,-0.760133,IMU
7.95,-0.390855,-1.853689,-0.762923,IMU
7.96,-0.391032,-1.854519,-0.76577,IMU
7.97,-0.391206,-1.855347,-0.768668,IMU
7.98,-0.391369,-1.85618,-0.771607,IMU
7.99,-0.391514,-1.857025,-0.77459,IMU
