t,x,y,z,qx,qy,qz,qw
642.8,-7.949417713752528e-07,-3.179332091131225e-08,0.9099276801506937,4.760460924730993e-19,3.701206852472622e-18,-1.7220307423354093e-06,0.9999999999985173
642.82,-7.949417713751852e-07,-3.179332091106967e-08,0.9124036816743951,2.4561198166193916e-18,1.6488405756182985e-18,-1.7220307424027378e-06,0.9999999999985173
642.84,-7.949417713751916e-07,-3.17933209110154e-08,0.9149013729551048,2.0051580794615626e-18,2.0226786687161733e-18,-1.722030742471464e-06,0.9999999999985173
642.86,-7.949417713751362e-07,-3.179332091083781e-08,0.9174135202308323,6.162136441428894e-18,1.401485858564186e-18,-1.7220307425383364e-06,0.9999999999985173
642.88,-7.949417713754929e-07,-3.1793320911063624e-08,0.9198954677475439,4.587144531502802e-19,1.2035837617228853e-17,-1.7220307426080224e-06,0.9999999999985173
642.9,-7.949417713752508e-07,-3.179332091113629e-08,0.9223867287226173,-5.475866326882228e-19,7.532197866197063e-18,-1.722030742677365e-06,0.9999999999985173
642.92,-7.94941771375502e-07,-3.179332091118974e-08,0.9248489038514754,-1.7585927102002202e-18,1.8614512605153436e-17,-1.7220307427452515e-06,0.9999999999985173
642.94,-7.949417713749851e-07,-3.1793320911154455e-08,0.9273708206488659,-9.663421699599506e-19,9.372262400274725e-18,-1.7220307428145839e-06,0.9999999999985173
642.96,-7.949417713743128e-07,-3.1793320910839034e-08,0.9299515296216657,7.536232601188646e-18,-3.0097285793967e-18,-1.7220307428821769e-06,0.9999999999985173
642.98,-7.949417713742873e-07,-3.179332091087671e-08,0.9325327642722309,7.266075220392588e-18,1.071732340421424e-19,-1.7220307429494914e-06,0.9999999999985173
643.0,-7.949417713743314e-07,-3.1793320911155805e-08,0.9351149675597016,1.8784950973555378e-18,2.99757653360489e-18,-1.722030743020102e-06,0.9999999999985173
643.02,-7.949417713740786e-07,-3.1793320911132644e-08,0.9376434424317388,4.6440522108646525e-18,-2.257235140397274e-18,-1.7220307430876122e-06,0.9999999999985173
643.04,-7.949417713738599e-07,-3.179332091145696e-08,0.9402154883719331,-2.3520234234093032e-18,-7.427040542583467e-18,-1.722030743155482e-06,0.9999999999985173
643.06,-7.949417713743974e-07,-3.179332091121778e-08,0.9428082912746872,5.684662930942593e-18,6.309090701947392e-18,-1.7220307432268113e-06,0.9999999999985173
643.08,-7.94941771374382e-07,-3.179332091115239e-08,0.9453629860980862,8.813547390379968e-18,6.022979982214322e-18,-1.7220307432932824e-06,0.9999999999985173
643.1,-7.949417713742103e-07,-3.1793320911368344e-08,0.947915563832882,5.762985083840113e-18,2.531825988672023e-18,-1.7220307433620388e-06,0.9999999999985173
643.12,-7.949417713742375e-07,-3.179332091152222e-08,0.9504282658992185,4.746587972059525e-18,4.844051479328686e-18,-1.7220307434309954e-06,0.9999999999985173
643.14,-7.949417713740102e-07,-3.17933209113416e-08,0.9529916003377253,1.3115985997841822e-17,7.543522902398378e-19,-1.7220307434976738e-06,0.9999999999985173
643.16,-7.949417713740735e-07,-3.179332091112074e-08,0.9555784474962921,2.3319087523374054e-17,3.708687196651928e-18,-1.7220307435680002e-06,0.9999999999985173
643.18,-7.949417713739557e-07,-3.179332091172599e-08,0.9581287333190917,1.3900818572413758e-17,2.1781728694380557e-18,-1.7220307436345727e-06,0.9999999999985173
643.2,-7.949417713738941e-07,-3.1793320912160406e-08,0.9606755521927169,9.905225722027564e-18,2.2282194940196342e-18,-1.7220307437019498e-06,0.9999999999985173
643.22,-7.949417713739246e-07,-3.179332091242872e-08,0.963159987367229,9.723720306550244e-18,4.293758303985836e-18,-1.7220307437719115e-06,0.9999999999985173
643.24,-7.949417713739836e-07,-3.179332091296539e-08,0.9656575824905665,1.3900343736819684e-18,7.889131364388512e-18,-1.7220307438396744e-06,0.9999999999985173
643.26,-7.949417713737711e-07,-3.1793320912951336e-08,0.9681601941634977,6.3994649199570926e-18,4.4078083988415376e-18,-1.7220307439087338e-06,0.9999999999985173
643.28,-7.949417713739157e-07,-3.179332091327665e-08,0.9706084635388291,1.16714908172306e-18,1.1111233729310858e-17,-1.7220307439774862e-06,0.9999999999985173
643.3,-7.949417713737533e-07,-3.1793320913712435e-08,0.9730856028098376,-8.111101011372731e-18,1.0413990835171964e-17,-1.7220307440440103e-06,0.9999999999985173
643.32,-7.949417713731793e-07,-3.179332091358592e-08,0.9756271560419425,-4.33400213984851e-18,-1.120264374788315e-18,-1.7220307441129316e-06,0.9999999999985173
643.34,-7.949417713731019e-07,-3.179332091329851e-08,0.978244955193737,2.5306626615351016e-18,7.923410596751949e-20,-1.722030744180769e-06,0.9999999999985173
643.36,-7.949417713732192e-07,-3.1793320913293484e-08,0.9809335612184941,2.1231826377977573e-18,5.09013911075072e-18,-1.7220307442485876e-06,0.9999999999985173
643.38,-7.949417713731492e-07,-3.1793320913365733e-08,0.9836432919104623,4.772959964093973e-19,4.77451959394021e-18,-1.722030744318884e-06,0.9999999999985173
643.4,-7.949417713730245e-07,-3.179332091342332e-08,0.9861951480859399,-6.35047054076583e-19,3.760039819479912e-18,-1.7220307443862175e-06,0.9999999999985173
643.42,-7.949417713729983e-07,-3.1793320913454176e-08,0.988483996509266,-1.3875602732595628e-18,5.1777414941266405e-18,-1.7220307444537082e-06,0.9999999999985173
643.44,-7.949417713730313e-07,-3.1793320913621326e-08,0.9904764146944212,-6.105162256108669e-18,8.089911410757828e-18,-1.7220307445221695e-06,0.9999999999985173
643.46,-7.949417713729938e-07,-3.179332091336395e-08,0.9921855724484787,3.316178787985214e-20,9.971168476392782e-18,-1.7220307445886361e-06,0.9999999999985173
